name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
Renault Clio,Renault,1.4 RT Klima Servo,€ 390.-,158000,Used,Clio,Sedans,Gasoline,,160 g/km (comb),,Euro 3,75,"1,390 cc",,,2,08/1999,1999,6.8 l/100 km (comb),5.6 l/100 km (country),8.8 l/100 km (city),,Manual,,5,4,Metallic,,Silver,"Cloth, Black",,,,,,,,3004/567,,,,,https://www.autoscout24.com/offers/renault-clio-1-4-rt-klima-servo-gasoline-silver-7dfa55a5-97d3-4b86-8e4a-4fad34136214?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Agila,Opel,1.0 12V Comfort Tüv 07/2021,€ 450.-,268500,Used,Agila,Compact,Gasoline,,144 g/km (comb),4 (Green),Euro 4,58,973 cc,,,1,09/2002,2002,6 l/100 km (comb),5.2 l/100 km (country),7.3 l/100 km (city),,Manual,,5,4,Metallic,,White,,,07/2021,,,,,,0035/388,,,,,https://www.autoscout24.com/offers/opel-agila-1-0-12v-comfort-tuev-07-2021-gasoline-white-39d7a477-90b4-4239-aafc-f972717695e0?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Ka/Ka+,Ford,KA /Pano/AUX/USB/Ohne TÜV,€ 490.-,203463,Used,Ka/Ka+,Convertible,Regular/Benzine 91,,165 g/km (comb),4 (Green),Euro 4,60,"1,299 cc",,,5,08/2002,2002,6.8 l/100 km (comb),5.6 l/100 km (country),8.9 l/100 km (city),,Manual,,4,2,Metallic,Metropolis-Blau Metallic,Blue,"Cloth, Black",,03/2021,,,,,,,,,,,https://www.autoscout24.com/offers/ford-ka-ka-ka-pano-aux-usb-ohne-tuev-gasoline-blue-675ba481-a475-4485-8ce6-9d0181dc17b9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Audi A3,Audi,1.8,€ 490.-,222000,Used,A3,Sedans,Super 95,,,4 (Green),,125,"1,781 cc",,,,10/1999,1999,,,,,Manual,5,,3,,schwarz,Black,"Cloth, Other",,,,,,,,,,,Germany,1095_59800,https://www.autoscout24.com/offers/audi-a3-1-8-gasoline-black-f4010661-c57e-48ac-81dc-8699b836f7ab?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Ka/Ka+,Ford,Student Bastlerwagen,€ 495.-,129400,Used,Ka/Ka+,Sedans,Super 95,,161 g/km (comb),4 (Green),,60,"1,299 cc",,,5,06/2006,2006,6.8 l/100 km (comb),5.6 l/100 km (country),8.9 l/100 km (city),,Manual,,,3,Metallic,Polar-Silber Metallic,Silver,,,12/2021,,,,,Front,8566/521,,,Germany,ZOLZER1,https://www.autoscout24.com/offers/ford-ka-ka-student-bastlerwagen-gasoline-silver-6dca9022-0117-4a78-8b4d-9aff8076233a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C5,Citroen,Kombi 2.2 HDI Exclusive Automatik PDC Alu Kli,€ 499.-,206000,Used,C5,Station wagon,Diesel,,169 g/km (comb),4 (Green),Euro 3,133,"2,179 cc",,,2,08/2003,2003,6.4 l/100 km (comb),5 l/100 km (country),8.7 l/100 km (city),,Automatic,,5,4,Metallic,,Grey,"Cloth, Grey",,,,,,,,,,,,4115286011,https://www.autoscout24.com/offers/citroen-c5-kombi-2-2-hdi-exclusive-automatik-pdc-alu-kli-diesel-grey-65ff2629-8527-41bd-a23b-0ff02c3bbdfe?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Fiesta,Ford,"1.25 Futura 55 kW (75 PS), Schaltgetriebe, Fron...",€ 499.-,189137,Used,Fiesta,Compact,Super 95,,,1 (No sticker),,75,"1,242 cc",4,,3,07/2000,2000,,,,,Manual,,5,3,,Aquarius,Blue,Cloth,,,,,,,Front,0928/930,999 kg,,Germany,3488,https://www.autoscout24.com/offers/ford-fiesta-1-25-futura-55-kw-75-ps-schaltgetriebe-fron-gasoline-blue-034b8b80-9d27-41d2-bd42-7ec66265b21a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Mondeo,Ford,2.0 Turbo TDCi Trend EXPORT!!!,€ 500.-,300882,Used,Mondeo,Sedans,Diesel,,,,Euro 3,116,"1,998 cc",4,12 months,,04/2004,2004,,,,,Manual,6,5,5,,,Blue,"Other, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/ford-mondeo-2-0-turbo-tdci-trend-export-diesel-blue-e253f285-e014-4b15-ac90-86eb51f11e89?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Mondeo,Ford,2.0 Turbo TDCi Trend EXPORT!!!,€ 500.-,300882,Used,Mondeo,Sedans,Diesel,,,,Euro 3,116,"1,998 cc",4,12 months,,04/2004,2004,,,,,Manual,6,5,,Uni/basic,,Blue,"Cloth, Black",,,,,,,,,,,,913138,https://www.autoscout24.com/offers/ford-mondeo-2-0-turbo-tdci-trend-export-diesel-blue-176804c3-d0ca-492b-b2cd-27780117c6de?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Skoda Octavia,Skoda,Combi 2.0 Elegance Klima AHK SHZ,€ 500.-,245000,Used,Octavia,Station wagon,Gasoline,,194 g/km (comb),4 (Green),Euro 4,116,"1,984 cc",,,,11/1999,1999,8.1 l/100 km (comb),6.2 l/100 km (country),11.3 l/100 km (city),,Manual,,5,4,Metallic,,Silver,"Cloth, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/skoda-octavia-combi-2-0-elegance-klima-ahk-shz-gasoline-silver-87238867-3f9d-4624-8bd6-add505b2c30d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
